경도,위도,주소
129.0648295,35.09434841,부산광역시 청학2동 태종로 365
129.0617772,35.09643444,부산광역시 청학2동 태종로 329
129.0485539,35.09251885,부산광역시 봉래2동 한진중공업
129.043354,35.09366575,부산광역시 봉래1동 대교로 16
129.0430648,35.09324,부산광역시 봉래1동 대교로 15-2
129.044056,35.09206095,부산광역시 봉래2동 태종로 135
129.0380252,35.09329169,부산광역시 대교동 태종로 59
129.0374825,35.09279484,부산광역시 대교동 태종로 58-1
129.0411193,35.09149992,부산광역시 대교동 태종로 94-1 
129.0399177,35.0860795,부산광역시 영선2동 절영로 96-1
129.0807692,35.06864394,부산광역시 동삼2동 태종로 759
129.27541,35.77267147,부산광역시 동삼2동 한국해양대학교
129.0706214,35.07917821,부산광역시 동삼1동 동삼로 64 
129.0721388,35.08480599,부산광역시 동삼3동 선덤산길 2
129.276093,35.77195838,부산광역시 동삼3동 주공아파트 삼거리
129.0646,35.09102544,부산광역시 청학2동 구청 게시대
129.0537504,35.09567312,부산광역시 청학1동 태종로 236
129.0557088,35.09655196,부산광역시 청학1동 태종로 260 신도브래뉴
129.062964,35.09567756,부산광역시 청학2동 태종로 342 청학성당
129.0674969,35.08985203,부산광역시 청학2동 태종로 428 청학한라아파트 상가
129.0423233,35.08895664,부산광역시 영선1동 영선대로 89 청성아파트
129.0433835,35.08533667,부산광역시 신선동 영상길 3 제2영도교회
129.0404132,35.08625461,부산광역시 영선2동 절영로101번길 1
129.0385586,35.08927605,부산광역시 영선2동 절영로 59-1
129.0413281,35.08700377,부산광역시 영선2동 영선대로 65
129.0686054,35.09446415,부산광역시 청학2동 해양로 125
129.046299,35.09400916,부산광역시 봉래2동 태종로 164
129.0720559,35.0744081,부산광역시 동삼1동 와치로 287 동삼절영3차아파트
129.0610694,35.07124335,부산광역시 동삼1동 함지로 21 
129.0365052,35.09449434,부산광역시 남항동 태종로 40
129.0441191,35.08035037,부산광역시 영선2동 하나길 15
129.0540809,35.07348691,부산광역시 동삼1동 절영로 319
129.0912509,35.07831624,부산광역시 동삼1동 75광장
129.0671046,35.06991568,부산광역시 동삼1동 절영로 461
129.0707012,35.07504443,부산광역시 동삼1도 와치로 266
129.067593,35.07452115,부산광역시 동삼1동 중리로 41
129.062963,35.07184216,부산광역시 동삼1동 함지로 43
129.0809046,35.06280312,부산광역시 동삼2동 태종로 826
129.0750132,35.07242674,부산광역시 동삼2동 태종로 687 
129.0621286,35.08897697,부산광역시 청학2동 청학동로 18
128.0846038,35.20202789,부산광역시 봉래동 부산대교 밑 소공원
128.5624288,35.85989995,대구광역시 서구 달구벌대로 1807
128.5515561,35.85615378,대구 서구 내당동 463-34
128.5583695,35.87091911,대구광역시 서구 국채보상로 250-1
128.5592895,35.87232195,대구광역시 서구 국채보상로 257
128.5570685,35.87342187,대구광역시 서구 평리동 1621-12
128.5551994,35.87189932,대구광역시 서구 서대구로 156
128.5535064,35.88814342,대구광역시 서구 염색공단로 21
128.5551317,35.88528247,대구광역시 서구 서대구로 295
128.5559631,35.88990469,대구광역시 서구 팔달로 54
128.5439604,35.86905499,대구광역시 서구 국채보상로 117
128.5805772,35.88296343,대구광역시 서구 원대로13길 2
128.4994591,35.84489067,대구광역시 달서구 신당동 1973
128.5284147,35.84849392,대구광역시 달서구 장기동 810
128.5332531,35.84895692,대구광역시 달서구 달구벌대로 1530
128.5494289,35.85420252,대구광역시 달서구 달구벌대로 1676
128.5213372,35.81328325,대구광역시 달서구 월배로 62(진천동)
128.5555569,35.83745962,대구광역시 달서구 구마로 253-1(성당동)
128.5402837,35.81791147,대구광역시 달서구 상인서로85
128.5274057,35.84945335,대구광역시 달서구 달구벌대로 1467
128.5557906,35.83702933,대구광역시 달서구 구마로 256
128.5109675,35.80905344,대구 달성군 화원읍 비슬로 2705
128.5084945,35.80801828,대구광역시 달성군 화원읍 비슬로 2679
128.5082553,35.80737332,대구광역시 달성군 화원읍 비슬로 2674
